Datetime,total_feed(TPH),reject(TPH),sep_drive_speed(RPM),bucket_elevator(AMP),mill_sound(%),cement_category
09-04-2023 19:00,129.3931618,43.81074524,738.4710083,63.93162537,74.26129913,0
09-04-2023 20:00,130.7118454,21.74359131,738.4710083,66.08058929,74.92063904,0
09-04-2023 21:00,134.0153894,39.66910934,738.4710083,69.20635223,79.43833923,0
09-04-2023 22:00,132.4752178,52.80586243,738.4710083,68.37606812,75.14041901,0
09-04-2023 23:00,132.9909678,51.83516693,738.4710083,68.86447144,73.96825409,0
10-04-2023 00:00,132.052021,17.99023247,738.4710083,61.97802353,70.69596863,0
10-04-2023 01:00,129.3623953,49.69963455,715.7268677,66.12942505,72.52747345,0
10-04-2023 02:00,129.6590986,28.99145317,724.2559204,63.68742752,72.1367569,0
10-04-2023 03:00,110.3367567,13.97802258,804.2155151,58.80342102,59.36508179,0
10-04-2023 04:00,111.029551,26.01465225,804.2155151,63.58974457,61.26984406,0
10-04-2023 05:00,129.2429848,27.95604515,753.0414429,68.18070984,78.21733856,0
10-04-2023 06:00,132.2732611,80.63248444,753.0414429,65.83638763,81.3431015,0
10-04-2023 07:00,118.528204,22.97313881,729.2312012,57.58242035,80.21977997,0
10-04-2023 08:00,126.8046455,27.95604515,729.2312012,58.26618195,80.80586243,0
10-04-2023 09:00,124.2490873,29.83272362,709.3301392,58.70574188,79.60928345,0
10-04-2023 10:00,124.9946346,19.86691093,572.8658447,57.19169998,73.26007843,0
10-04-2023 11:00,124.0241814,14.94871807,578.9072266,60.12210083,77.68009949,0
10-04-2023 12:00,124.3687449,7.959706783,553.6755371,59.82906342,78.75457764,0
10-04-2023 13:00,126.5211277,16.95482445,525.9561768,58.65690231,80.36630249,0
10-04-2023 14:00,129.5067177,7.053724289,512.4519653,58.11965942,63.00366592,0
10-04-2023 15:00,115.1487194,11.97191715,507.1212769,55.18925858,61.63614273,1
10-04-2023 16:00,117.0757054,4.982906342,507.1212769,59.19414139,62.1978035,1
10-04-2023 17:00,117.3406616,38.8278389,507.1212769,59.53602219,52.6251564,1
10-04-2023 18:00,119.0481106,17.92551994,501.4353027,60.46398163,54.1391983,1
10-04-2023 19:00,117.6600739,18.96092796,603.7835693,62.95482635,67.57020569,1
10-04-2023 20:00,127.2898684,11.90720463,553.6755371,64.42002869,70.91575623,0
10-04-2023 21:00,126.8131866,10.87179565,553.6755371,60.56166458,67.27716827,0
10-04-2023 22:00,129.3008595,8.930403709,603.4281616,58.36386108,74.23687744,0
10-04-2023 23:00,130.2478666,25.94993973,603.4281616,57.82662201,72.67399597,0
11-04-2023 00:00,128.5428648,13.97802258,695.8258667,58.90110016,74.40781403,0
11-04-2023 01:00,129.723814,17.99023247,695.8258667,58.51037979,71.67277527,0
11-04-2023 02:00,130.1731415,29.89743614,695.8258667,60.12210083,72.42979431,0
11-04-2023 03:00,129.5997639,18.96092796,695.8258667,62.31990433,71.99023438,0
11-04-2023 04:00,128.7272348,18.96092796,695.8258667,58.94993973,72.89377594,0
11-04-2023 05:00,129.1404152,26.98534775,695.8258667,60.80586243,69.40171051,0
11-04-2023 06:00,130.0402985,16.95482445,684.0984497,58.41270065,77.24053955,0
11-04-2023 07:00,126.7484779,10.03052521,684.0984497,57.87546158,79.82906342,0
11-04-2023 08:00,126.5904808,20.96703339,684.0984497,57.48474121,70.86691284,0
11-04-2023 09:00,129.2578802,20.06105042,605.2050171,59.87790298,74.89621735,0
11-04-2023 10:00,129.7995148,8.995116234,605.2050171,58.51037979,79.75579834,0
11-04-2023 11:00,0.042490844,0.129426137,993.9862061,43.41880417,98.6568985,0
11-04-2023 12:00,124.358243,23.87912178,552.9647827,55.38461685,63.1990242,0
11-04-2023 13:00,127.4549475,0.129426137,552.9647827,58.46154022,76.6300354,0
11-04-2023 14:00,131.4349232,11.97191715,552.9647827,56.99633789,73.08913422,0
11-04-2023 15:00,128.7059832,10.87179565,552.9647827,59.92674255,72.62515259,0
11-04-2023 16:00,122.1760683,3.947496891,471.9391174,55.62881851,77.48474121,0
11-04-2023 17:00,126.3873091,4.982906342,441.37677,60.46398163,75.84859467,0
11-04-2023 18:00,114.1631314,6.989011288,502.5014038,57.38705826,56.84981918,1
11-04-2023 19:00,118.1191689,9.965812683,502.5014038,61.29426193,57.11843872,1
11-04-2023 20:00,120.3482281,39.92796326,502.5014038,61.73382568,61.07448196,1
11-04-2023 21:00,114.7912127,19.93162537,550.4771729,61.53846359,61.75824356,1
11-04-2023 22:00,110.0351692,50.7997551,700.8010864,64.66423035,79.14530182,1
11-04-2023 23:00,101.9667898,87.62149048,749.4876099,64.32234955,79.48718262,1
12-04-2023 00:00,101.1899918,70.86080933,749.4876099,64.61538696,72.6007309,1
12-04-2023 01:00,99.23858702,44.9108696,749.4876099,68.27838898,80.43955994,1
